,TEFF,J-H
612,13207.827,-0.10296855711936992
613,19157.324,-0.04332772541046026
614,18784.203,-0.21705509948730395
615,12593.562,-0.55333630180359
616,19046.84,-0.5710373182296742
617,13330.387,-0.5885322313308716
618,18238.994,-0.45057930946350133
619,13410.276000000002,-0.06494706177711507
620,12976.517,-0.3236120858192457
621,11821.745,-0.3206361355781553
622,13250.777,-0.4207352313995347
623,11097.591,-0.23963589954376197
624,12923.177,-0.2113968973159821
625,19121.635,-0.24349995374679523
626,11602.155,-0.2368669099807743
627,10181.897,-0.20598119544983007
628,15295.453,-0.09106604576110655
629,15179.904,-0.19264515113830427
630,10484.348,-0.17180337810516377
631,14225.245,-0.0957043399810793
632,19362.268,-0.19859379720687897
633,12973.303,-0.05433350181579577
634,11622.162,-0.13936311626434517
635,13249.686000000003,-0.2154470896720877
636,15304.941,-0.11157728242874043
637,12418.19,-0.11467168617248547
638,14169.694,-0.46541778421402036
639,12543.39,-0.849504133224487
640,12545.521,-0.0786457901000972
641,12921.979,-0.1369387655258194
642,12024.633999999998,-0.13556401968002163
643,12621.864,-2.0455149421691896
644,12571.181,-1.2766369380950895
645,10531.703,-0.15756675338745119
646,12676.011,-0.06264943003654544
647,13860.19,-0.15506866574287415
648,13203.546,-0.07549448060989228
649,14184.196000000002,-0.18687938404083404
650,14065.06,-0.20323406457901072
651,12651.356000000002,-0.10626231741905201
652,18889.555,-0.06666551566124035
653,12600.159,-0.10068570518493658
654,12571.767,-0.10720189714431783
655,12056.893999999998,-0.0662465646266952
656,16778.742,-0.08705080246925334
657,15220.377,-0.09067007803916916
658,11007.413,-0.1169382455348984
659,16129.83,-0.1308360836505873
660,19614.504,-0.14068996953964152
661,14505.018999999998,-0.13181352710723715
662,19801.535,-0.0948056879043584
663,11821.477,-0.14058402943611092
664,13070.688,-0.15827655816078234
665,12670.409,-0.10600041770935142
666,12754.874,-0.18349961376189938
667,17134.938000000002,-0.06222537088394198
668,18107.697,-0.09270650076866005
669,10133.412,-0.17574261569976457
670,10154.28,-0.10777203536033397
671,12677.925,-0.09008643794059878
672,12843.323,-0.08771447324752835
673,14760.347,-0.19022233653068454
674,15938.803,-0.25907896900177185
675,12871.687,-0.16170897674560436
676,19148.896,0.5712205538749693
677,12463.803999999998,-0.10492861557006883
678,9571.441,-0.318168965816497
679,15139.018,-0.17774230051040796
680,12378.666,-0.19953934717178434
681,9977.047,-0.20263156175613162
682,10436.9375,-0.13208165240287784
683,18643.77,-0.07035896277427867
684,11628.451,-0.17402146196365464
685,12865.602,-0.14524403262138463
686,16779.205,-0.08859123861789797
687,13919.677,-0.126633303642274
688,13724.853,0.42816304373741154
689,18831.197,-0.07664621949195904
690,19264.793,-0.15958095073699852
691,11675.396,-0.07617773342132494
692,12520.091,-0.11526641440391394
693,12789.39,-0.11113788604736285
694,10901.199,-0.11526611351966842
695,19514.553,-0.2938032302856417
696,12936.378,-0.3456077404022224
697,12266.114,-0.5786777038574229
698,12240.502,-0.33008911228179727
699,12858.738,-0.46185004615783676
700,10309.71,-0.23637273025512684
701,11728.692,-0.2083654322624202
702,12303.695,-0.18787137556075884
703,12703.296,-0.3361624884605412
704,12678.563999999997,-0.2686305418014552
705,11748.4795,-0.2531089329719549
706,12321.597,-0.21841734170913796
707,13040.363,-0.15479308271408065
708,12535.135,-0.2248530936241142
709,10184.27,-0.21219425344467346
710,14458.692,-0.22500397968292418
711,12671.066,-0.26970888996123854
712,10112.1045,-0.18724966478347937
713,14517.546,-0.16917762851715068
714,12793.487,-0.35776340150833086
715,10431.648,-0.2102517557144168
716,9884.244,-0.307351128101347
717,12858.466,-0.16811870622635006
718,11974.416,-0.22448677635192915
719,14443.996,-0.15591275548935002
720,12649.497,-0.12992848610877772
721,10118.572,-0.23540449142456232
722,12847.745,-0.26477067518234065
723,9618.207,-0.21509749269485567
724,15155.296,-0.17215538215637416
725,12908.63,-0.31177889919280943
726,10018.375,-0.18881675767898543
727,12814.037,-0.25536275959014887
728,12582.042,-0.29580193996429216
729,12982.958,-0.1515562047958383
730,14616.187,-0.25600710010528616
731,11817.866000000002,-0.313800203323364
732,17851.113,-0.17768106460571254
733,9896.92,-0.6280502862930284
734,14865.985,-0.32291608285903983
735,9721.104,-0.5479975023269628
736,12371.681,-0.3364328441619868
737,12814.841,-0.09720589733123663
738,18640.084,-0.42477511024475234
739,13072.991000000002,-0.2978159122467048
740,13069.184,-0.36013729667663696
741,19168.83,0.08662835550308046
